date,Solar,Wind
2020/4/1,23140,87901
2020/4/2,23936,50064
2020/4/3,29153,35577
2020/4/4,32371,60203
2020/4/5,30676,147137
2020/4/6,20455,108570
2020/4/7,24750,47168
2020/4/8,26605,31238
2020/4/9,31401,33585
2020/4/10,31413,59398
2020/4/11,30418,31850
2020/4/12,23071,36823
2020/4/13,17797,164883
2020/4/14,33064,146191
2020/4/15,29584,112705
2020/4/16,24729,66907
2020/4/17,21143,49071
2020/4/18,20946,27435
2020/4/19,10230,66222
2020/4/20,11408,131031
2020/4/21,9255,113071
2020/4/22,13712,72959
2020/4/23,22427,26316
2020/4/24,27262,21019
2020/4/25,26924,38080
2020/4/26,25134,17349
2020/4/27,16876,28143
2020/4/28,18304,119638
2020/4/29,23851,144511
2020/4/30,18158,209832
2020/5/1,12392,177490
2020/5/2,18013,96439
2020/5/3,27945,39149
2020/5/4,31340,49891
2020/5/5,25809,105896
2020/5/6,33654,49275
2020/5/7,32151,32497
2020/5/8,27471,44394
2020/5/9,22618,39423
2020/5/10,9685,78101
2020/5/11,10525,251691
2020/5/12,20263,98437
2020/5/13,13985,126947
2020/5/14,18952,193912
2020/5/15,26095,118607
2020/5/16,26721,55115
2020/5/17,32161,53520
2020/5/18,34732,48147
2020/5/19,34763,68296
2020/5/20,35298,50371
2020/5/21,33707,24851
2020/5/22,30861,75991
2020/5/23,18356,103217
2020/5/24,32422,61855
2020/5/25,34694,55866
2020/5/26,35374,88570
2020/5/27,34100,83939
2020/5/28,34954,98724
2020/5/29,33138,114588
2020/5/30,33301,85069
2020/5/31,31733,108372
2020/6/1,26556,75616
2020/6/2,30789,27004
2020/6/3,25492,37521
2020/6/4,17585,74225
2020/6/5,19921,181238
2020/6/6,23657,147861
2020/6/7,24725,45845
2020/6/8,26887,60305
2020/6/9,23785,66428
2020/6/10,23033,29666
2020/6/11,17680,58720
2020/6/12,20832,97435
2020/6/13,20932,74727
2020/6/14,29487,60866
2020/6/15,28104,50707
2020/6/16,24027,31211
2020/6/17,25895,28433
2020/6/18,25996,41870
2020/6/19,30036,41746
2020/6/20,32344,19961
2020/6/21,30262,80776
2020/6/22,33813,34863
2020/6/23,35495,53400
2020/6/24,34291,84595
2020/6/25,31826,52728
2020/6/26,26350,65717
2020/6/27,28122,127797
2020/6/28,22290,97115
2020/6/29,28316,108459
2020/6/30,31558,93362
2020/7/1,22094,84024
2020/7/2,20316,85981
2020/7/3,29214,75130
2020/7/4,32913,155293
2020/7/5,29825,171893
2020/7/6,32500,119113
2020/7/7,35034,43798
2020/7/8,34537,53674
2020/7/9,33611,58716
2020/7/10,24916,78507
2020/7/11,34513,59915
2020/7/12,32397,75309
2020/7/13,33888,53382
2020/7/14,30155,46637
2020/7/15,21934,40992
2020/7/16,20940,44149
2020/7/17,26337,40322
2020/7/18,34052,25518
2020/7/19,34304,23285
2020/7/20,32494,69623
2020/7/21,31489,79006
2020/7/22,27170,56250
2020/7/23,28284,24564
2020/7/24,33113,48021
2020/7/25,30615,72527
2020/7/26,28171,78336
2020/7/27,32926,111863
2020/7/28,22373,94983
2020/7/29,32271,24262
2020/7/30,32013,38687
2020/7/31,30618,70591
2020/8/1,25625,54146
2020/8/2,25312,69853
2020/8/3,25953,72575
2020/8/4,33764,45477
2020/8/5,34462,30981
