date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Los Angeles County,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York city,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1976/1/1,98532,11363,98249,64649,898595,70862,140873,20875,29014,346416,188303,39871,20424,337194,159497,57517,44663,83925,300050,95908,41111,122282,284719,390092,109565,64331,124552,19388,23665,29646,25425,339861,41586,786811,343589,166607,9525,386076,69374,102195,412223,34273,95430,10059,110578,328608,30262,18607,142628,134527,52965,122896,7200
1976/2/1,98275,11304,98179,64763,897332,70679,141011,20780,29008,346598,188413,39982,20379,336777,159835,57645,44629,83904,299721,95531,41099,122002,285245,390958,109513,64219,124327,19321,23649,29672,25409,339487,41617,785540,343009,166940,9472,386807,69315,102020,412813,34231,95417,10038,110411,328573,30283,18621,142523,134089,52984,122930,7201
1976/3/1,97448,11189,97651,64702,892831,69991,140666,20783,28830,345091,187844,39968,20358,336318,158390,57435,44597,83673,298333,95607,40978,121540,284332,390883,108497,63417,124289,19208,23391,29580,25425,339313,41684,782659,341936,166277,9456,385978,69009,101168,414505,34104,94727,9896,109927,329941,30231,18645,141575,133566,53093,122038,7173
1976/4/1,96446,11166,96426,63930,886361,69249,139047,21191,28393,340053,185902,39416,20458,336360,152895,56394,44577,83121,295936,97035,40693,121908,279432,387187,106154,61820,125497,19160,22796,29195,25515,340186,41702,779397,341014,163004,9647,379830,68276,99698,416230,33926,92735,9678,109382,333436,29947,18628,139438,134128,53171,119430,7082
1976/5/1,96072,11282,95393,62851,882696,68999,137079,21802,27962,334459,183624,38642,20607,337416,146530,55064,44552,82462,294256,99258,40400,122884,273225,381378,104022,60472,127295,19219,22239,28744,25627,341685,41650,778834,341292,158994,9957,371624,67611,98593,415833,33812,90734,9534,109198,336987,29596,18566,137613,135648,52997,116652,6977
1976/6/1,96730,11584,94859,61601,884632,69519,134995,22485,27725,329759,181737,37826,20763,338893,141495,53796,44403,81691,294176,101796,40225,124233,266797,374649,103036,59858,129458,19365,21884,28387,25708,343425,41744,780643,342163,155635,10337,363480,66982,98399,412643,33920,89199,9595,109769,338683,29242,18426,136576,138144,52317,114565,6876
1976/7/1,98366,12086,94813,60431,893227,71143,133011,23104,27823,327205,180997,37044,20926,339995,139135,52923,44193,81058,296015,103994,40305,125794,261204,368578,103614,60291,131816,19590,21840,28243,25726,345248,41989,783989,343092,154021,10724,357701,66335,99385,408333,34367,88403,9889,111217,337358,28937,18204,136291,141415,51304,113952,6791
1976/8/1,100485,12701,95056,59565,906286,73553,131114,23511,28201,326934,181533,36431,21086,340076,138962,52617,44078,80276,299167,105384,40648,127125,256840,364239,105342,61490,134258,19808,22066,28357,25676,346903,42385,786980,343573,154928,11052,354656,65736,101029,404977,35094,88270,10295,113245,333927,28748,17905,136297,144763,49824,114733,6737
1976/9/1,102566,13329,95124,59031,919485,76134,128943,23784,28632,327497,182937,36018,21282,338381,139881,52758,44146,79173,302188,105997,41175,128144,252824,361532,107257,62801,136771,19958,22291,28609,25627,348512,43003,787740,342591,157689,11306,353751,65053,102596,404235,35992,88338,10672,115443,330950,28692,17563,135798,147928,48401,115594,6747
1976/10/1,104652,13922,95010,58930,930552,78536,126642,24056,29002,328349,184971,35803,21617,334992,141685,53308,44504,78210,304311,106236,41907,129251,249231,360865,108949,64057,139145,20147,22422,28928,25680,350577,43836,786862,340446,161562,11525,355352,64469,104052,407123,37012,88793,11008,117873,330202,28840,17256,134974,151087,47898,116385,6828
